date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:55	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2023:41:50%20GMT	https://cristijora.github.io/paper-dashboard-pro	C:/Users/VENDAS-02/Desktop/vueJS/cristijora.github.io/paper-dashboard-pro.0.delayed	(from )
20:51:56	3684/3684	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202017%2017:06:39%20GMT	https://cristijora.github.io/paper-dashboard-pro/	C:/Users/VENDAS-02/Desktop/vueJS/cristijora.github.io/paper-dashboard-pro/index.html	(from )
20:51:57	5216/5216	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225942d138-239c%22	https://cristijora.github.io/robots.txt		(from )
20:51:57	2446/2446	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Nov%202017%2017:06:39%20GMT	https://cristijora.github.io/paper-dashboard-pro/static/img/apple-icon.png	C:/Users/VENDAS-02/Desktop/vueJS/cristijora.github.io/paper-dashboard-pro/static/img/apple-icon.png	(from https://cristijora.github.io/paper-dashboard-pro/)
20:51:57	2761/2761	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Nov%202017%2017:06:39%20GMT	https://cristijora.github.io/paper-dashboard-pro/static/img/favicon.png	C:/Users/VENDAS-02/Desktop/vueJS/cristijora.github.io/paper-dashboard-pro/static/img/favicon.png	(from https://cristijora.github.io/paper-dashboard-pro/)
20:51:58	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/VENDAS-02/Desktop/vueJS/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://cristijora.github.io/paper-dashboard-pro/)
20:51:58	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/VENDAS-02/Desktop/vueJS/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://cristijora.github.io/paper-dashboard-pro/)
20:51:59	16448/16448	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202017%2017:06:39%20GMT	https://cristijora.github.io/paper-dashboard-pro/static/css/themify-icons.css	C:/Users/VENDAS-02/Desktop/vueJS/cristijora.github.io/paper-dashboard-pro/static/css/themify-icons.css	(from https://cristijora.github.io/paper-dashboard-pro/)
20:52:00	36015/36015	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Oct%202017%2023:46:20%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/VENDAS-02/Desktop/vueJS/www.google-analytics.com/analytics.js	(from https://cristijora.github.io/paper-dashboard-pro/)
20:52:00	1789/1789	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202017%2017:06:39%20GMT	https://cristijora.github.io/paper-dashboard-pro/static/js/manifest.6d3d551749243203214e.js	C:/Users/VENDAS-02/Desktop/vueJS/cristijora.github.io/paper-dashboard-pro/static/js/manifest.6d3d551749243203214e.js	(from https://cristijora.github.io/paper-dashboard-pro/)
